name,percentage_positive_review,review_qualification,all_reviews
Left 4 Dead 2,96,Overwhelmingly Positive,"Overwhelmingly Positive,(156,890),- 96% of the 156,890 user reviews for this game are positive."
Yu-Gi-Oh! Duel Links,75,Mostly Positive,"Mostly Positive,(10,993),- 75% of the 10,993 user reviews for this game are positive."
Katana ZERO,97,Overwhelmingly Positive,"Overwhelmingly Positive,(4,028),- 97% of the 4,028 user reviews for this game are positive."
Darkest Dungeon®,85,Very Positive,"Very Positive,(42,821),- 85% of the 42,821 user reviews for this game are positive."
Vampire: The Masquerade - Bloodlines,93,Very Positive,"Very Positive,(5,844),- 93% of the 5,844 user reviews for this game are positive."
Wreckfest,77,Mostly Positive,"Mostly Positive,(9,124),- 77% of the 9,124 user reviews for this game are positive."
SUPERHOT VR,88,Very Positive,"Very Positive,(2,100),- 88% of the 2,100 user reviews for this game are positive."
Conqueror's Blade,46,Mixed,"Mixed,(2,029),- 46% of the 2,029 user reviews for this game are positive."
Kenshi,88,Very Positive,"Very Positive,(10,227),- 88% of the 10,227 user reviews for this game are positive."
RESIDENT EVIL 2 / BIOHAZARD RE:2,95,Overwhelmingly Positive,"Overwhelmingly Positive,(14,492),- 95% of the 14,492 user reviews for this game are positive."
HITMAN™ 2,86,Very Positive,"Very Positive,(4,357),- 86% of the 4,357 user reviews for this game are positive."
Minion Masters,90,Very Positive,"Very Positive,(20,699),- 90% of the 20,699 user reviews for this game are positive."
Crossout,66,Mixed,"Mixed,(19,157),- 66% of the 19,157 user reviews for this game are positive."
Kingdom Come: Deliverance Royal Edition,-1,,
The Sims™ 3,81,Very Positive,"Very Positive,(12,778),- 81% of the 12,778 user reviews for this game are positive."
Subnautica,94,Very Positive,"Very Positive,(87,871),- 94% of the 87,871 user reviews for this game are positive."
Wallpaper Engine,96,Overwhelmingly Positive,"Overwhelmingly Positive,(63,223),- 96% of the 63,223 user reviews for this software are positive."
Grim Dawn,90,Very Positive,"Very Positive,(24,456),- 90% of the 24,456 user reviews for this game are positive."
Subnautica: Below Zero,89,Very Positive,"Very Positive,(4,663),- 89% of the 4,663 user reviews for this game are positive."
7 Days to Die,77,Mostly Positive,"Mostly Positive,(55,096),- 77% of the 55,096 user reviews for this game are positive."
X-Plane 11,81,Very Positive,"Very Positive,(2,475),- 81% of the 2,475 user reviews for this game are positive."
Fallout: New Vegas,95,Overwhelmingly Positive,"Overwhelmingly Positive,(52,056),- 95% of the 52,056 user reviews for this game are positive."
Surviving Mars,71,Mostly Positive,"Mostly Positive,(4,344),- 71% of the 4,344 user reviews for this game are positive."
Wolfenstein: The New Order,88,Very Positive,"Very Positive,(20,858),- 88% of the 20,858 user reviews for this game are positive."
RAGE 2,54,Mixed,"Mixed,(4,490),- 54% of the 4,490 user reviews for this game are positive."
A Plague Tale: Innocence,94,Very Positive,"Very Positive,(2,526),- 94% of the 2,526 user reviews for this game are positive."
FOR HONOR™,54,Mixed,"Mixed,(36,134),- 54% of the 36,134 user reviews for this game are positive."
Cuphead,95,Overwhelmingly Positive,"Overwhelmingly Positive,(35,536),- 95% of the 35,536 user reviews for this game are positive."
Europa Universalis IV,82,Very Positive,"Very Positive,(35,444),- 82% of the 35,444 user reviews for this game are positive."
DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,91,Very Positive,"Very Positive,(2,704),- 91% of the 2,704 user reviews for this game are positive."
Deathgarden™: BLOODHARVEST,79,Mostly Positive,"Mostly Positive,(2,617),- 79% of the 2,617 user reviews for this game are positive."
Supraland,96,Overwhelmingly Positive,"Overwhelmingly Positive,(1,274),- 96% of the 1,274 user reviews for this game are positive."
Starbound,90,Very Positive,"Very Positive,(57,157),- 90% of the 57,157 user reviews for this game are positive."
NBA 2K19,27,Mostly Negative,"Mostly Negative,(7,877),- 27% of the 7,877 user reviews for this game are positive."
KurtzPel,56,Mixed,"Mixed,(5,388),- 56% of the 5,388 user reviews for this game are positive."
A Hat in Time,97,Overwhelmingly Positive,"Overwhelmingly Positive,(11,925),- 97% of the 11,925 user reviews for this game are positive."
Slay the Spire,96,Overwhelmingly Positive,"Overwhelmingly Positive,(25,172),- 96% of the 25,172 user reviews for this game are positive."
PAYDAY 2,84,Very Positive,"Very Positive,(215,078),- 84% of the 215,078 user reviews for this game are positive."
"Papers, Please",95,Overwhelmingly Positive,"Overwhelmingly Positive,(23,376),- 95% of the 23,376 user reviews for this game are positive."
Insurgency: Sandstorm,75,Mostly Positive,"Mostly Positive,(15,963),- 75% of the 15,963 user reviews for this game are positive."
Deep Rock Galactic,93,Very Positive,"Very Positive,(9,320),- 93% of the 9,320 user reviews for this game are positive."
No Man's Sky,51,Mixed,"Mixed,(102,974),- 51% of the 102,974 user reviews for this game are positive."
Tropico 6,84,Very Positive,"Very Positive,(3,385),- 84% of the 3,385 user reviews for this game are positive."
theHunter: Call of the Wild™,78,Mostly Positive,"Mostly Positive,(17,470),- 78% of the 17,470 user reviews for this game are positive."
Prey,88,Very Positive,"Very Positive,(11,786),- 88% of the 11,786 user reviews for this game are positive."
Tabletop Simulator,93,Very Positive,"Very Positive,(8,785),- 93% of the 8,785 user reviews for this game are positive."
Outward,70,Mostly Positive,"Mostly Positive,(3,399),- 70% of the 3,399 user reviews for this game are positive."
Thronebreaker: The Witcher Tales,87,Very Positive,"Very Positive,(2,922),- 87% of the 2,922 user reviews for this game are positive."
Beat Saber - Imagine Dragons Music Pack,-1,,
Paladins®,83,Very Positive,"Very Positive,(204,137),- 83% of the 204,137 user reviews for this game are positive."
FIVE NIGHTS AT FREDDY'S VR: HELP WANTED,97,Very Positive,"Very Positive,(441),- 97% of the 441 user reviews for this game are positive."
Screencheat,92,Very Positive,"Very Positive,(474),- 92% of the 474 user reviews for this game are positive."
Space Engineers,87,Very Positive,"Very Positive,(51,814),- 87% of the 51,814 user reviews for this game are positive."
Ideology in Friction,90,Very Positive,"Very Positive,(155),- 90% of the 155 user reviews for this game are positive."
Sid Meier's Civilization® V,95,Overwhelmingly Positive,"Overwhelmingly Positive,(83,973),- 95% of the 83,973 user reviews for this game are positive."
Pathfinder: Kingmaker,70,Mostly Positive,"Mostly Positive,(6,709),- 70% of the 6,709 user reviews for this game are positive."
Age of Empires II HD,94,Very Positive,"Very Positive,(46,206),- 94% of the 46,206 user reviews for this game are positive."
Blade and Sorcery,87,Very Positive,"Very Positive,(1,746),- 87% of the 1,746 user reviews for this game are positive."
Borderlands Game of the Year,93,Very Positive,"Very Positive,(15,083),*,- 93% of the 15,083 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Destiny 2,-1,,
Raft,78,Mostly Positive,"Mostly Positive,(13,413),- 78% of the 13,413 user reviews for this game are positive."
Factorio,98,Overwhelmingly Positive,"Overwhelmingly Positive,(38,652),- 98% of the 38,652 user reviews for this game are positive."
Total War: WARHAMMER,75,Mostly Positive,"Mostly Positive,(23,366),- 75% of the 23,366 user reviews for this game are positive."
Crypt of the NecroDancer,96,Overwhelmingly Positive,"Overwhelmingly Positive,(13,069),- 96% of the 13,069 user reviews for this game are positive."
Garry's Mod,95,Overwhelmingly Positive,"Overwhelmingly Positive,(310,394),- 95% of the 310,394 user reviews for this game are positive."
Brawlhalla,83,Very Positive,"Very Positive,(90,153),- 83% of the 90,153 user reviews for this game are positive."
The Elder Scrolls V: Skyrim VR,80,Very Positive,"Very Positive,(2,137),- 80% of the 2,137 user reviews for this game are positive."
Void Bastards,82,Very Positive,"Very Positive,(728),- 82% of the 728 user reviews for this game are positive."
World of Warships,71,Mostly Positive,"Mostly Positive,(14,265),- 71% of the 14,265 user reviews for this game are positive."
Coming Out on Top,94,Very Positive,"Very Positive,(358),- 94% of the 358 user reviews for this game are positive."
Tom Clancy's Ghost Recon® Wildlands,74,Mostly Positive,"Mostly Positive,(28,513),- 74% of the 28,513 user reviews for this game are positive."
Farming Simulator 19,76,Mostly Positive,"Mostly Positive,(6,474),- 76% of the 6,474 user reviews for this game are positive."
Don't Starve Together,96,Overwhelmingly Positive,"Overwhelmingly Positive,(70,020),- 96% of the 70,020 user reviews for this game are positive."
Crusader Kings II,90,Very Positive,"Very Positive,(21,046),- 90% of the 21,046 user reviews for this game are positive."
Conan Exiles,69,Mixed,"Mixed,(24,605),- 69% of the 24,605 user reviews for this game are positive."
Barotrauma,76,Mostly Positive,"Mostly Positive,(571),- 76% of the 571 user reviews for this game are positive."
Totally Accurate Battle Simulator,92,Very Positive,"Very Positive,(4,787),- 92% of the 4,787 user reviews for this game are positive."
Borderlands 2 Game of the Year,-1,,
Call of Duty®: Black Ops III,64,Mixed,"Mixed,(23,982),- 64% of the 23,982 user reviews for this game are positive."
Planet Zoo,-1,,
Wolfenstein II: The New Colossus,69,Mixed,"Mixed,(9,311),- 69% of the 9,311 user reviews for this game are positive."
Kingdom Come: Deliverance,74,Mostly Positive,"Mostly Positive,(27,512),- 74% of the 27,512 user reviews for this game are positive."
Star Trek Online,75,Mostly Positive,"Mostly Positive,(10,144),- 75% of the 10,144 user reviews for this game are positive."
Bloodstained: Ritual of the Night,-1,,
The Forest,92,Very Positive,"Very Positive,(101,595),- 92% of the 101,595 user reviews for this game are positive."
Planet Coaster,87,Very Positive,"Very Positive,(20,758),- 87% of the 20,758 user reviews for this game are positive."
Overcooked! 2,81,Very Positive,"Very Positive,(4,669),- 81% of the 4,669 user reviews for this game are positive."
Dishonored 2,80,Very Positive,"Very Positive,(14,274),- 80% of the 14,274 user reviews for this game are positive."
FINAL FANTASY XIV Online Complete Edition (NA),-1,,
Warhammer: Vermintide 2,75,Mostly Positive,"Mostly Positive,(22,740),- 75% of the 22,740 user reviews for this game are positive."
Mortal Kombat 11,59,Mixed,"Mixed,(6,842),- 59% of the 6,842 user reviews for this game are positive."
Squad,83,Very Positive,"Very Positive,(21,514),- 83% of the 21,514 user reviews for this game are positive."
Terraria,96,Overwhelmingly Positive,"Overwhelmingly Positive,(201,266),- 96% of the 201,266 user reviews for this game are positive."
Cooking Simulator,75,Mostly Positive,"Mostly Positive,(1,174),- 75% of the 1,174 user reviews for this game are positive."
Kerbal Space Program,90,Very Positive,"Very Positive,(44,559),- 90% of the 44,559 user reviews for this game are positive."
DOOM Eternal,-1,,
Hearts of Iron IV,86,Very Positive,"Very Positive,(30,585),- 86% of the 30,585 user reviews for this game are positive."
Assassin's Creed® Odyssey,81,Very Positive,"Very Positive,(21,600),- 81% of the 21,600 user reviews for this game are positive."
Touhou Luna Nights,97,Overwhelmingly Positive,"Overwhelmingly Positive,(3,416),- 97% of the 3,416 user reviews for this game are positive."
SMITE®,79,Mostly Positive,"Mostly Positive,(44,074),- 79% of the 44,074 user reviews for this game are positive."
RimWorld,97,Overwhelmingly Positive,"Overwhelmingly Positive,(31,754),- 97% of the 31,754 user reviews for this game are positive."
Stardew Valley,96,Overwhelmingly Positive,"Overwhelmingly Positive,(104,530),- 96% of the 104,530 user reviews for this game are positive."
ARK: Survival Evolved,69,Mixed,"Mixed,(168,982),- 69% of the 168,982 user reviews for this game are positive."
DARK SOULS™ II: Scholar of the First Sin,85,Very Positive,"Very Positive,(20,901),- 85% of the 20,901 user reviews for this game are positive."
Hunt Showdown,76,Mostly Positive,"Mostly Positive,(22,330),- 76% of the 22,330 user reviews for this game are positive."
OCTOPATH TRAVELER™,74,Mostly Positive,"Mostly Positive,(447),- 74% of the 447 user reviews for this game are positive."
Arma 3,89,Very Positive,"Very Positive,(81,705),- 89% of the 81,705 user reviews for this game are positive."
MONSTER HUNTER: WORLD,68,Mixed,"Mixed,(62,030),- 68% of the 62,030 user reviews for this game are positive."
American Truck Simulator West Coast Bundle,-1,,
Sekiro™: Shadows Die Twice,86,Very Positive,"Very Positive,(18,794),- 86% of the 18,794 user reviews for this game are positive."
SpaceEngine,96,Overwhelmingly Positive,"Overwhelmingly Positive,(699),- 96% of the 699 user reviews for this game are positive."
Cyberpunk 2077,-1,,
Dying Light Enhanced Edition,-1,,
Divinity: Original Sin 2 - Definitive Edition,94,Very Positive,"Very Positive,(41,391),- 94% of the 41,391 user reviews for this game are positive."
Risk of Rain 2,94,Very Positive,"Very Positive,(16,312),- 94% of the 16,312 user reviews for this game are positive."
Team Fortress 2,93,Very Positive,"Very Positive,(553,458),- 93% of the 553,458 user reviews for this game are positive."
House Flipper,78,Mostly Positive,"Mostly Positive,(8,863),- 78% of the 8,863 user reviews for this game are positive."
Trover Saves the Universe,87,Very Positive,"Very Positive,(389),- 87% of the 389 user reviews for this game are positive."
Beat Saber,93,Very Positive,"Very Positive,(12,027),- 93% of the 12,027 user reviews for this game are positive."
War Thunder,78,Mostly Positive,"Mostly Positive,(107,537),- 78% of the 107,537 user reviews for this game are positive."
Dead by Daylight,76,Mostly Positive,"Mostly Positive,(138,492),- 76% of the 138,492 user reviews for this game are positive."
Dying Light,92,Very Positive,"Very Positive,(61,962),- 92% of the 61,962 user reviews for this game are positive."
Borderlands: The Pre-Sequel,80,Very Positive,"Very Positive,(13,436),*,- 80% of the 13,436 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
